Family_name;Number_of_sequences
CLU_027562_9_2; 56
CLU_027562_9_5; 62
CLU_027634_5_2; 93
CLU_027634_6_0; 162
CLU_027686_5_2; 24
CLU_027850_1_0; 123
CLU_027853_5_3; 147
CLU_028397_0_2; 69
CLU_028929_2_1; 155
CLU_029469_2_1; 43
CLU_029499_9_0; 62
CLU_029831_0_0; 133
CLU_029833_0_0; 150
CLU_030006_3_5; 47
CLU_030130_3_1; 168
CLU_030671_3_2; 31
CLU_030702_0_0; 217
CLU_030805_0_5; 74
CLU_030949_0_1; 164
CLU_031040_8_5; 99
CLU_031172_0_0; 103
CLU_031172_1_0; 75
CLU_031223_2_1; 121
CLU_031285_17_1; 43
CLU_031285_9_1; 6
CLU_031397_3_1; 63
CLU_031450_3_1; 110
CLU_031468_0_1; 17
CLU_031625_2_2; 89
CLU_031763_3_0; 215
CLU_031864_5_3; 203
CLU_031953_0_1; 320
CLU_031953_7_1; 95
CLU_032087_3_0; 210
CLU_032119_0_0; 57
CLU_032444_0_0; 218
CLU_032916_1_1; 116
CLU_033172_0_0; 63
CLU_033361_2_0; 219
CLU_033449_1_1; 4
CLU_033458_0_2; 217
CLU_033546_2_2; 229
CLU_033590_0_0; 16
CLU_033716_0_2; 15
CLU_033821_0_1; 184
CLU_034045_0_0; 3
CLU_034178_0_1; 88
CLU_034247_0_1; 164
CLU_034315_2_1; 167
CLU_034348_0_0; 215
CLU_034585_2_1; 169
CLU_034906_2_0; 203
CLU_035060_4_1; 136
CLU_035060_4_2; 35
CLU_035113_0_0; 135
CLU_035113_2_2; 17
CLU_035117_1_0; 27
CLU_035267_0_1; 131
CLU_035272_5_0; 176
CLU_035731_0_0; 181
CLU_035750_4_1; 264
CLU_035750_7_2; 319
CLU_035759_3_0; 238
CLU_035788_0_0; 175
CLU_036235_0_1; 105
CLU_036368_4_3; 101
CLU_036368_4_5; 60
CLU_036532_0_4; 216
CLU_036590_4_1; 189
CLU_036838_2_1; 3
CLU_036838_2_2; 32
CLU_037097_1_0; 192
CLU_037123_1_1; 128
CLU_037162_19_3; 44
CLU_037229_1_0; 217
CLU_037265_2_1; 15
CLU_037423_2_0; 75
CLU_037460_3_0; 120
CLU_037562_4_2; 207
CLU_037612_0_3; 221
CLU_037958_0_0; 213
CLU_037990_16_1; 119
CLU_038115_1_0; 67
CLU_038194_0_0; 157
CLU_038355_1_0; 25
CLU_038362_0_0; 210
CLU_038421_3_1; 205
CLU_039453_4_0; 7
CLU_039453_4_2; 71
CLU_039478_0_2; 253
CLU_040369_0_0; 60
CLU_040452_3_1; 44
CLU_040681_12_1; 264
CLU_040681_12_3; 5
CLU_040681_7_0; 124
CLU_040681_9_2; 32
CLU_040761_4_0; 118
CLU_040933_2_1; 231
CLU_040984_0_0; 50
CLU_041001_1_0; 35
CLU_041220_0_2; 171
CLU_041243_1_1; 128
CLU_041630_0_0; 136
CLU_041674_0_1; 165
CLU_041732_0_0; 238
CLU_041732_2_0; 166
CLU_042088_3_1; 122
CLU_042134_1_0; 195
CLU_042160_0_0; 52
CLU_042324_1_0; 21
CLU_042529_14_2; 229
CLU_042622_0_0; 259
CLU_042700_0_0; 8
CLU_042858_1_0; 157
CLU_043216_2_0; 222
CLU_043239_0_0; 80
CLU_043473_1_2; 98
CLU_043736_0_1; 371
CLU_043773_0_0; 137
CLU_043846_1_2; 214
CLU_043846_3_2; 217
CLU_043960_4_0; 21
CLU_043966_5_2; 22
CLU_043978_1_0; 142
CLU_043978_1_1; 160
CLU_044063_4_1; 96
CLU_044118_5_0; 151
CLU_044146_2_0; 189
CLU_044308_2_1; 21
CLU_044328_1_0; 13
CLU_044442_0_0; 25
CLU_044556_1_0; 85
CLU_044679_1_0; 182
CLU_045011_13_3; 84
CLU_045011_8_3; 248
CLU_045192_1_3; 184
CLU_045401_1_1; 44
CLU_045401_2_1; 97
CLU_045401_2_2; 44
CLU_045500_0_0; 84
CLU_046377_1_1; 160
CLU_046483_4_0; 221
CLU_046525_2_3; 110
CLU_046550_5_1; 40
CLU_046643_0_0; 123
CLU_046737_12_4; 115
CLU_046737_9_5; 36
CLU_047220_0_0; 13
CLU_047249_1_0; 183
CLU_047330_4_1; 51
CLU_047382_0_0; 156
CLU_047426_2_0; 70
CLU_047426_2_1; 44
CLU_047795_0_0; 56
CLU_048199_0_1; 74
CLU_048562_1_0; 130
CLU_048577_4_0; 193
CLU_048577_5_1; 33
CLU_049301_11_2; 35
CLU_049301_2_0; 90
CLU_049311_3_2; 17
CLU_049343_5_1; 116
CLU_049343_7_0; 93
CLU_049560_0_0; 14
CLU_049733_0_0; 130
CLU_049966_1_0; 214
CLU_050006_7_2; 195
CLU_050338_1_0; 8
CLU_050651_0_0; 29
CLU_050982_1_0; 18
CLU_051096_3_1; 21
CLU_051152_1_1; 139
CLU_052104_0_0; 158
CLU_052299_1_0; 96
CLU_052530_1_0; 12
CLU_052778_1_0; 37
CLU_052779_0_0; 94
CLU_053134_0_0; 183
CLU_053173_0_0; 220
CLU_053225_4_1; 42
CLU_053305_2_1; 7
CLU_053464_0_0; 100
CLU_053595_0_2; 77
CLU_053727_2_0; 183
CLU_054331_0_0; 52
CLU_054331_1_0; 18
CLU_054353_2_1; 151
CLU_054456_0_2; 219
CLU_054760_1_0; 19
CLU_054785_5_1; 76
CLU_055156_6_0; 217
CLU_055352_1_0; 202
CLU_055360_2_2; 23
CLU_055432_2_0; 204
CLU_055443_0_0; 30
CLU_055597_2_1; 104
CLU_055795_1_0; 134
CLU_055846_1_3; 110
CLU_055936_0_0; 63
CLU_056123_0_0; 45
CLU_056123_1_0; 166
CLU_056125_0_0; 85
CLU_056148_0_1; 94
CLU_056222_2_0; 206
CLU_056464_1_0; 141
CLU_056590_1_1; 119
CLU_056931_3_0; 171
CLU_057069_2_0; 220
CLU_057069_2_2; 130
CLU_057642_0_0; 232
CLU_057819_1_0; 161
CLU_058152_0_0; 148
CLU_058171_3_0; 224
CLU_058320_4_0; 221
CLU_058577_0_0; 43
CLU_058591_1_1; 141
CLU_058643_1_1; 6
CLU_059021_3_1; 9
CLU_059021_4_1; 10
CLU_059021_5_5; 78
CLU_059055_2_0; 216
CLU_059501_1_1; 23
CLU_059687_0_1; 22
CLU_059734_1_1; 144
CLU_060161_4_3; 331
CLU_060216_6_3; 208
CLU_060400_0_0; 217
CLU_060476_0_0; 99
CLU_060932_0_0; 83
CLU_061015_3_0; 217
CLU_061108_0_0; 189
CLU_061495_2_0; 114
CLU_061502_0_0; 101
CLU_061552_1_0; 49
CLU_061952_0_0; 64
CLU_061980_1_1; 27
CLU_062371_0_0; 8
CLU_062440_1_0; 29
CLU_062507_1_0; 215
CLU_062537_1_0; 20
CLU_062599_1_1; 15
CLU_062679_2_0; 36
CLU_062853_4_0; 220
CLU_062979_2_0; 102
CLU_063044_1_1; 88
CLU_063440_11_0; 14
CLU_063514_0_0; 133
CLU_063627_0_0; 166
CLU_063749_4_0; 121
CLU_063975_0_0; 221
CLU_064444_2_0; 41
CLU_064706_2_0; 30
CLU_064906_2_1; 70
CLU_065084_0_0; 277
