Iteration	Choice	Node	NbSequences	DiffSequences	NbSites	DiffSites	NbChars	DiffChars	MeanEntropy
0	0	4349	2176	0	201	0	428841	0	0.567095
1	1	4232	2058	-118	202	+1	408846	-19995	0.561625
2	1	4208	2034	-24	203	+1	405039	-3807	0.563097
3	1	4206	2032	-2	204	+1	405653	614	0.563093
4	1	4204	2030	-2	205	+1	406266	613	0.563095
5	1	4198	2024	-6	206	+1	406072	-194	0.563102
6	1	4020	1846	-178	207	+1	371217	-34855	0.579448
7	1	4000	1826	-20	208	+1	368110	-3107	0.582336
8	1	3994	1820	-6	209	+1	367814	-296	0.583199
9	1	3864	1690	-130	210	+1	342529	-25285	0.602163
10	1	3862	1688	-2	211	+1	342971	442	0.602457
11	1	3860	1686	-2	212	+1	343412	441	0.602752
12	1	3810	1636	-50	213	+1	334180	-9232	0.610099
13	1	3794	1620	-16	214	+1	331774	-2406	0.612445
14	1	3782	1608	-12	216	+2	330970	-804	0.61418
15	1	3760	1586	-22	217	+1	327341	-3629	0.617467
16	1	3746	1572	-14	218	+1	325313	-2028	0.619486
17	1	3734	1560	-12	219	+1	323681	-1632	0.621253
18	1	3728	1554	-6	220	+1	323252	-429	0.622143
19	1	3726	1552	-2	221	+1	323626	374	0.622439
20	1	3720	1546	-6	223	+2	323966	340	0.623298
21	1	3714	1540	-6	224	+1	323530	-436	0.624114
22	1	3712	1538	-2	225	+1	323897	367	0.624369
23	1	3706	1532	-6	226	+1	323457	-440	0.625193
24	1	3516	1342	-190	228	+2	287078	-36379	0.649329
25	1	3514	1340	-2	229	+1	287358	280	0.649552
26	1	3496	1322	-18	230	+1	284509	-2849	0.651482
27	1	3488	1314	-8	232	+2	284263	-246	0.652291
28	1	3486	1312	-2	233	+1	284529	266	0.652488
29	1	3480	1306	-6	234	+1	284012	-517	0.653067
30	1	3402	1228	-78	236	+2	270030	-13982	0.65814
31	1	3396	1222	-6	237	+1	269471	-559	0.658295
32	1	3386	1212	-10	238	+1	268127	-1344	0.658456
33	1	3362	1188	-24	239	+1	264041	-4086	0.658263
34	1	3264	1090	-98	240	+1	245472	-18569	0.641318
35	1	3262	1088	-2	241	+1	245627	155	0.640561
36	1	3260	1086	-2	242	+1	245779	152	0.639749
37	1	3250	1076	-10	243	+1	244357	-1422	0.638864
38	1	3236	1062	-14	244	+1	242156	-2201	0.640458
39	1	3230	1056	-6	245	+1	241513	-643	0.640895
40	1	3214	1040	-16	246	+1	238703	-2810	0.638835
41	1	2908	734	-306	247	+1	174553	-64150	0.595239
42	1	2890	716	-18	248	+1	170831	-3722	0.57788
43	1	2886	712	-4	249	+1	170283	-548	0.574757
44	1	2874	700	-12	250	+1	167977	-2306	0.567065
45	1	2862	688	-12	251	+1	165931	-2046	0.553048
46	1	2858	684	-4	253	+2	165818	-113	0.548347
47	1	2848	674	-10	256	+3	164654	-1164	0.539275
48	1	2820	646	-28	259	+3	159336	-5318	0.536971
49	1	2818	644	-2	265	+6	160822	1486	0.536757
50	1	2794	620	-24	268	+3	156433	-4389	0.532185
51	1	2536	362	-258	270	+2	93152	-63281	0.393341
52	1	2530	356	-6	280	+10	93330	178	0.394422
53	1	2528	354	-2	285	+5	93681	351	0.394759
54	1	2478	304	-50	287	+2	81374	-12307	0.398407
55	1	2476	302	-2	289	+2	81188	-186	0.398296
56	1	2298	124	-178	290	+1	35898	-45290	0.0455941
57	1	2186	12	-112	292	+2	3492	-32406	0.0387308
58	1	2176	2	-10	294	+2	586	-2906	0.0107346
