Family_name;Number_of_sequences
CLU_000288_7_35; 1655
CLU_000288_7_39; 158
CLU_000288_74_0; 55
CLU_000288_7_41; 98
CLU_000288_74_1; 238
CLU_000288_74_2; 97
CLU_000288_74_3; 145
CLU_000288_7_5; 118
CLU_000288_76_2; 50
CLU_000288_76_3; 43
CLU_000288_79_1; 87
CLU_000288_81_8; 107
CLU_000288_81_9; 264
CLU_000288_8_1; 517
CLU_000288_8_3; 87
CLU_000288_8_4; 235
CLU_000288_8_5; 93
CLU_000288_90_1; 39
CLU_000288_9_0; 149
CLU_000288_92_6; 1904
CLU_000288_92_7; 375
CLU_000288_9_2; 57
CLU_000288_94_3; 165
CLU_000288_9_4; 48
CLU_000288_99_3; 71
CLU_000301_0_0; 134
CLU_000301_1_0; 135
CLU_000315_0_2; 498
CLU_000315_0_3; 89
CLU_000315_15_0; 272
CLU_000315_15_2; 28
CLU_000315_15_3; 352
CLU_000315_16_2; 281
CLU_000315_22_3; 42
CLU_000315_24_4; 78
CLU_000315_2_5; 748
CLU_000315_29_2; 287
CLU_000315_33_1; 104
CLU_000315_5_0; 62
CLU_000315_5_1; 123
CLU_000315_5_2; 66
CLU_000315_7_2; 63
CLU_000315_8_1; 149
CLU_000319_0_0; 58
CLU_000329_0_0; 61
CLU_000329_0_1; 118
CLU_000329_1_1; 18
CLU_000331_1_0; 163
CLU_000332_0_0; 60
CLU_000335_1_0; 555
CLU_000335_2_1; 240
CLU_000344_0_0; 50
CLU_000347_1_0; 67
CLU_000364_1_1; 167
CLU_000373_1_0; 37
CLU_000373_2_0; 60
CLU_000373_3_0; 69
CLU_000373_3_1; 9
CLU_000378_1_0; 52
CLU_000380_3_0; 562
CLU_000381_0_0; 51
CLU_000384_9_7; 95
CLU_000395_0_1; 348
CLU_000395_3_1; 396
CLU_000395_3_3; 207
CLU_000395_5_0; 167
CLU_000395_5_2; 380
CLU_000404_1_0; 382
CLU_000421_0_0; 58
CLU_000422_11_6; 451
CLU_000427_4_0; 302
CLU_000428_0_0; 79
CLU_000429_0_0; 105
CLU_000429_0_1; 372
CLU_000445_104_16; 48
CLU_000445_104_17; 53
CLU_000445_114_15; 261
CLU_000445_114_48; 210
CLU_000445_16_2; 102
CLU_000445_33_0; 1148
CLU_000445_44_2; 294
CLU_000445_44_3; 60
CLU_000445_52_5; 284
CLU_000445_72_5; 23
CLU_000454_0_0; 200
CLU_000457_0_0; 51
CLU_000459_2_0; 266
CLU_000468_0_0; 58
CLU_000487_0_1; 68
CLU_000487_1_1; 192
CLU_000487_2_4; 424
CLU_000487_3_0; 845
CLU_000487_3_1; 59
CLU_000494_3_0; 68
CLU_000494_3_1; 60
CLU_000512_0_0; 150
CLU_000513_0_1; 59
CLU_000513_1_3; 322
CLU_000513_2_1; 317
CLU_000520_0_0; 124
CLU_000524_5_1; 1302
CLU_000524_5_2; 434
CLU_000534_0_0; 24
CLU_000537_6_0; 360
CLU_000539_2_1; 103
CLU_000540_0_1; 201
CLU_000540_0_2; 96
CLU_000540_1_0; 190
CLU_000540_1_2; 24
CLU_000540_5_0; 579
CLU_000550_0_1; 42
CLU_000550_1_2; 38
CLU_000550_2_1; 42
CLU_000556_0_1; 417
CLU_000572_1_0; 68
CLU_000572_3_0; 101
CLU_000576_0_0; 154
CLU_000576_0_1; 15
CLU_000576_2_0; 20
CLU_000594_1_0; 51
CLU_000595_2_1; 215
CLU_000597_0_0; 39
CLU_000604_17_2; 2589
CLU_000604_19_0; 262
CLU_000604_27_14; 212
CLU_000604_27_1; 1573
CLU_000604_27_3; 1379
CLU_000604_32_0; 35
CLU_000604_57_8; 575
CLU_000604_57_9; 187
CLU_000604_84_1; 648
CLU_000604_84_3; 1646
CLU_000624_0_0; 200
CLU_000624_1_0; 215
CLU_000625_4_6; 801
CLU_000630_0_0; 67
CLU_000631_3_0; 51
CLU_000631_3_1; 57
CLU_000631_7_0; 621
CLU_000647_0_0; 39
CLU_000657_0_0; 54
CLU_000660_10_1; 57
CLU_000660_3_0; 255
CLU_000666_0_0; 50
CLU_000673_0_0; 15
CLU_000673_1_0; 55
CLU_000679_1_0; 69
CLU_000688_1_1; 273
CLU_000688_12_0; 388
CLU_000688_12_3; 654
CLU_000688_2_0; 1150
CLU_000688_21_10; 222
CLU_000688_21_2; 733
CLU_000688_21_5; 95
CLU_000688_2_2; 621
CLU_000688_23_1; 141
CLU_000688_23_2; 187
CLU_000688_2_3; 633
CLU_000688_2_4; 646
CLU_000688_6_0; 125
CLU_000688_6_1; 272
CLU_000688_8_3; 430
CLU_000688_9_3; 324
CLU_000691_1_0; 101
CLU_000691_1_1; 402
CLU_000691_1_2; 126
CLU_000713_1_0; 42
CLU_000719_2_1; 54
CLU_000736_0_0; 42
CLU_000756_0_0; 47
CLU_000768_0_0; 23
CLU_000772_0_0; 247
CLU_000783_0_0; 203
CLU_000786_0_0; 61
CLU_000787_0_0; 68
CLU_000798_0_0; 59
CLU_000801_0_0; 27
CLU_000801_1_0; 27
CLU_000810_1_0; 50
CLU_000814_0_0; 116
CLU_000815_0_0; 63
CLU_000818_0_1; 67
CLU_000827_0_0; 9
CLU_000827_2_0; 45
CLU_000827_2_2; 75
CLU_000837_26_1; 65
CLU_000845_0_0; 311
CLU_000845_1_1; 92
CLU_000847_0_0; 149
CLU_000863_0_0; 12
CLU_000863_1_0; 56
CLU_000869_0_0; 97
CLU_000871_0_0; 22
CLU_000899_0_0; 70
CLU_000899_1_0; 54
CLU_000901_0_0; 214
CLU_000906_0_0; 68
CLU_000907_4_3; 213
CLU_000907_4_4; 272
CLU_000914_0_0; 166
CLU_000916_0_0; 70
CLU_000922_0_0; 106
CLU_000948_0_0; 57
CLU_000948_1_0; 63
CLU_000972_0_0; 24
CLU_000972_1_0; 161
CLU_000972_2_1; 191
CLU_000974_1_0; 83
CLU_000974_1_1; 47
CLU_000991_2_0; 61
CLU_000991_2_2; 170
CLU_000991_3_0; 15
CLU_000991_8_0; 79
CLU_000995_0_0; 206
CLU_000995_0_1; 350
CLU_000995_3_0; 67
CLU_000995_3_2; 407
CLU_000995_6_1; 219
CLU_000995_7_1; 379
CLU_000995_7_2; 1641
CLU_001002_1_1; 78
CLU_001002_3_0; 76
CLU_001012_0_0; 99
CLU_001029_0_0; 199
CLU_001038_0_1; 117
CLU_001038_4_0; 110
CLU_001040_1_1; 270
CLU_001042_0_1; 401
CLU_001042_0_2; 165
CLU_001042_4_1; 530
CLU_001042_5_0; 500
CLU_001042_9_0; 538
CLU_001060_7_1; 421
CLU_001060_8_1; 61
CLU_001061_0_0; 19
CLU_001061_1_0; 124
CLU_001067_0_0; 53
CLU_001067_1_0; 41
CLU_001072_1_0; 138
CLU_001072_1_3; 405
CLU_001074_0_2; 274
CLU_001074_18_1; 88
CLU_001074_18_2; 139
CLU_001074_21_0; 173
CLU_001074_2_1; 207
CLU_001074_2_3; 398
CLU_001074_3_1; 225
CLU_001074_8_2; 234
CLU_001103_11_1; 54
CLU_001103_1_1; 51
CLU_001103_12_5; 177
CLU_001103_22_1; 38
CLU_001103_4_1; 57
CLU_001103_9_3; 223
CLU_001108_0_0; 124
CLU_001108_0_1; 49
CLU_001120_0_0; 73
CLU_001120_1_0; 47
CLU_001128_3_1; 271
CLU_001129_0_0; 82
CLU_001136_3_1; 165
CLU_001145_0_0; 50
CLU_001158_0_0; 61
CLU_001162_1_1; 72
CLU_001182_0_0; 65
CLU_001183_2_1; 165
CLU_001183_3_1; 190
CLU_001187_1_2; 37
CLU_001187_2_0; 15
CLU_001195_0_0; 367
CLU_001201_0_2; 51
CLU_001201_1_2; 353
CLU_001202_1_0; 117
CLU_001204_0_1; 82
CLU_001222_1_0; 95
CLU_001222_2_0; 338
CLU_001226_0_0; 67
CLU_001226_2_0; 36
CLU_001232_0_1; 78
CLU_001232_1_0; 12
CLU_001232_1_1; 37
CLU_001245_0_0; 18
CLU_001265_28_2; 23
CLU_001265_30_11; 402
CLU_001265_30_5; 5274
CLU_001265_46_15; 564
CLU_001298_0_1; 30
CLU_001298_1_0; 74
CLU_001298_3_0; 68
CLU_001313_1_0; 267
CLU_001323_1_1; 14
CLU_001342_0_0; 42
CLU_001356_6_0; 38
CLU_001357_0_0; 167
CLU_001357_0_1; 42
CLU_001357_10_1; 37
CLU_001357_1_1; 67
CLU_001357_12_1; 59
CLU_001357_12_3; 191
CLU_001357_1_2; 129
CLU_001357_2_0; 304
CLU_001357_3_0; 15
CLU_001357_3_1; 45
CLU_001357_4_3; 8
CLU_001357_7_1; 221
CLU_001357_8_1; 179
CLU_001357_9_0; 22
CLU_001360_0_1; 146
CLU_001383_0_0; 58
CLU_001389_0_0; 67
CLU_001390_2_0; 112
CLU_001413_0_0; 40
CLU_001418_0_1; 127
CLU_001418_0_2; 248
CLU_001431_1_0; 22
CLU_001431_2_0; 182
